product_url,product_id,product_title,product_rating,nbr_reviews,current_price,old_price,discount_percentage
https://www.etsy.com/fr/listing/4392351544/sac-cabas-en-velours-cotele-personnalise,4392351544,"Sac cabas en velours côtelé personnalisé, sac en velours côtelé brodé, cadeau de Noël, cadeau d'anniversaire, cadeau pour demoiselle d'honneur, sac en velours côtelé décontracté, cadeau pour elle",4.9044,3900,10.68,19.42,45.0
https://www.etsy.com/fr/listing/1197900276/sacs-fourre-tout-a-logo-personnalises,1197900276,Sacs fourre-tout à logo personnalisés Sacs d'épicerie promotionnels réutilisables en toile de coton pour événements professionnels,4.9298,1600,5.47,7.29,25.0
https://www.etsy.com/fr/listing/1852832959/sac-fourre-tout-en-toile-brodee-sac-de,1852832959,"Sac fourre-tout en toile brodée, sac de plage personnalisé avec initiales",4.7559,1300,6.95,17.37,60.0
https://www.etsy.com/fr/listing/4373938822/sac-fourre-tout-minimaliste-personnalise,4373938822,Sac fourre-tout minimaliste personnalisé pour tous les jours avec fermeture à glissière - Cadeaux de demoiselle d'honneur - initiales brodées - Cabas personnalisé - Cabas en velours côtelé09-3,4.988,83,10.42,20.83,50.0
https://www.etsy.com/fr/listing/4359920915/sac-fourre-tout-personnalise-en-toile-de,4359920915,Sac fourre-tout personnalisé en toile de jute| Sac de demoiselle d'honneur personnalisé| Sac de plage monogramme|Sac de mariage| Sac EVJF| Sac personnalisé pour toutes les occasions,4.9002,846,2.31,5.15,55.0
https://www.etsy.com/fr/listing/4390172313/sac-cabas-en-velours-cotele-personnalise,4390172313,"Sac cabas en velours côtelé personnalisé, sac en velours côtelé brodé, cadeau de Noël, cadeau d'anniversaire, cadeau pour demoiselle d'honneur, sac cadeau personnalisé, cadeau pour elle",4.9044,3900,10.68,19.42,45.0
https://www.etsy.com/fr/listing/4301871513/sac-fourre-tout-en-toile-personnalise,4301871513,"Sac fourre-tout en toile personnalisé, sac fourre-tout LOGO personnalisé, sac fourre-tout prénom, sac cadeau de demoiselle d'honneur, brodé avec initiales fourre-tout personnalisé, cadeau personnalisé",4.7483,7900,0.09,0.28,67.0
https://www.etsy.com/fr/listing/1836666545/tote-bag-petit-bazar-personnalise-ideal,1836666545,Tote Bag Petit Bazar Personnalisé - Idéal pour Cadeaux !,4.963,370,,,
https://www.etsy.com/fr/listing/4377096883/sac-fourre-tout-en-coton-matelasse-a,4377096883,Sac fourre-tout en coton matelassé à imprimé jungle fait main : cabas de voyage et de plage,4.931,29,23.4,52.0,55.0
https://www.etsy.com/fr/listing/1726212776/sac-cabas-en-jute-et-trousse,1726212776,Sac cabas en jute et trousse personnalisées / cadeau maîtresse / cadeau maman / idée cadeau pour elle,4.6798,767,,,
